,owner_id,owner_age_group,owner_gender,district,dog_breed,dog_birthyear,dog_sex,dog_colour,dog_age,distric_name
0,574,61-70,Female,2,Big mixed breed,2013,Female,black,7,"Wollishofen, Leimbach, Enge"
1,695,41-50,Male,6,Labrador Retriever,2012,Female,brown,8,"Unterstrass, Oberstrass"
2,893,71-80,Female,7,Mittelschnauzer,2010,Female,black,10,"Funtern, Hottingen, Hirslanden, Witikon"
3,916,41-50,Male,3,Small mixed breed,2015,Female,light brown,5,Wiedikon
4,1177,51-60,Male,10,Shih Tzu,2011,Male,black & white,9,"Hoengg, Wipkingen"
5,4054,51-60,Female,11,Lagotto Romagnolo,2016,Female,weiss/beige,4,"Affoltern, Seebach, Oerlikon"
6,4135,41-50,Female,9,Small mixed breed,2016,Female,black,4,"Albisriesen, Altstetten"
7,4206,71-80,Female,8,Havaneser,2016,Female,hellbraun/weiss,4,Riesbach
8,4281,61-70,Female,9,Chihuahua,2011,Female,light brown,9,"Albisriesen, Altstetten"
9,4388,61-70,Female,11,Pug,2006,Male,beige,14,"Affoltern, Seebach, Oerlikon"
10,4726,51-60,Male,5,Big mixed breed,2007,Male,black,13,Industriequartier
11,4726,51-60,Male,5,Golden Retriever,2013,Female,cream,7,Industriequartier
12,4747,61-70,Male,2,Chihuahua,2013,Male,white & brown,7,"Wollishofen, Leimbach, Enge"
13,4850,51-60,Male,4,Chihuahua,2013,Female,beige,7,Aussersihl
14,4862,51-60,Male,4,Pug,2006,Male,brown,14,Aussersihl
15,5040,61-70,Male,10,Labrador Retriever,2016,Female,gelb,4,"Hoengg, Wipkingen"
16,5088,61-70,Male,7,Labrador Retriever,2014,Female,black,6,"Funtern, Hottingen, Hirslanden, Witikon"
17,5113,61-70,Male,11,Beagle,2010,Female,tricolor,10,"Affoltern, Seebach, Oerlikon"
18,5113,61-70,Male,11,Chihuahua,2017,Female,beige,3,"Affoltern, Seebach, Oerlikon"
19,5225,71-80,Male,3,Lagotto Romagnolo,2007,Male,brown,13,Wiedikon
20,5227,71-80,Male,10,Border Terrier,2011,Female,tricolor,9,"Hoengg, Wipkingen"
21,5406,51-60,Male,6,French bulldog,2013,Male,white & black,7,"Unterstrass, Oberstrass"
22,5740,51-60,Male,9,Jack Russel Terrier,2015,Female,white & brown,5,"Albisriesen, Altstetten"
23,6071,71-80,Male,3,Pointer,2012,Female,black & brown,8,Wiedikon
24,6071,71-80,Male,3,Pointer,2016,Male,black,4,Wiedikon
25,6078,51-60,Female,12,Chihuahua,2011,Female,brown & white,9,Schwamendingen
26,6078,51-60,Female,12,Chihuahua,2011,Female,brown,9,Schwamendingen
27,6130,61-70,Female,10,Big mixed breed,2017,Male,black,3,"Hoengg, Wipkingen"
28,6469,51-60,Male,11,Pug,2011,Male,beige,9,"Affoltern, Seebach, Oerlikon"
